Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northcentral,Tioga,Farmington Township,EASTERN GAS TRANS & STORAGE INC,EGTS TIOGA COMPRESSOR STA,240985,EASTERN GAS TRANS & STORAGE INC/TIOGA STA,244627,Y,Renewal,Title V Operating Permit,,ISSU,2024-05-06 00:00:00,2025-07-21 00:00:00,2030-07-20 00:00:00,1484113[59-00002]_Issued_v1.pdf
Northeast,Carbon,Banks Township,ITG CIGARS INC,ITG CIGARS INC,236805,ITG CIGARS INC/MCADOO PLT,238941,Y,New,Title V Operating Permit,,ISSU,1995-09-20 00:00:00,2025-11-06 00:00:00,2005-01-31 00:00:00,353964[13-00005]_Issued_v1.pdf
Northeast,Carbon,Nesquehoning Borough,PANTHER CREEK POWER OPR LLC,PANTHER CREEK PERMITTING BANK,449505,PANTHER CREEK POWER OPR LLC/NESQUEHONING,475620,Y,Renewal,Title V Operating Permit,,ISSU,2008-05-22 00:00:00,2018-11-27 00:00:00,2023-11-27 00:00:00,1023399[13-00003]_Issued_v2.pdf
Northeast,Lackawanna,Dunmore Borough,KEYSTONE SANI LDFL INC,KEYSTONE SANI LDFL,452485,KEYSTONE SANI LDFL INC/DUNMORE,555989,Y,Renewal,Title V Operating Permit,,ISSU,2020-03-27 00:00:00,2021-09-24 00:00:00,2026-09-24 00:00:00,1312192[35-00014]_Issued_v1.pdf
Northeast,Lehigh,Alburtis Borough,VICTAULIC CO,VICTAULIC CO ALBURTIS FACILITY,483735,VICTAULIC COMPANY/ALBURTIS FACILITY,515738,Y,Renewal,Title V Operating Permit,,ISSU,2022-04-19 00:00:00,2023-02-22 00:00:00,2028-02-22 00:00:00,1393813[39-00069]_Issued_v1.pdf
Northeast,Lehigh,Lower Macungie Township,BUCKEYE ENERGY SVC LLC,BUCKEYE ENERGY SVC LLC/MACUNGIE TERMINAL,580207,BUCKEYE ENERGY SVC LLC/MACUNGIE TERMINAL,523791,Y,Renewal,Title V Operating Permit,,ISSU,2021-05-12 00:00:00,2022-02-23 00:00:00,2027-02-23 00:00:00,1369688[39-00016]_Issued_v1.pdf
Northeast,Lehigh,Lower Macungie Township,BUCKEYE PIPELINE CO LP,BUCKEYE PIPE LINE CO LP MACUNGIE STA,4858,BUCKEYE PIPE LINE CO/MACUNGIE STA,6572,Y,Renewal,Title V Operating Permit,,ISSU,2021-05-12 00:00:00,2022-02-23 00:00:00,2027-02-23 00:00:00,1369692[39-00019]_Issued_v1.pdf
Northeast,Lehigh,Lower Macungie Township,BUCKEYE TERM LLC,BUCKEYE TERMINALS LLC MACUNGIE TERM,517,BUCKEYE TERMINALS LLC/MACUNGIE TERMINAL,673,Y,Renewal,Title V Operating Permit,,ISSU,2021-05-12 00:00:00,2022-02-23 00:00:00,2027-02-23 00:00:00,1369696[39-00028]_Issued_v1.pdf
Northeast,Lehigh,Lower Macungie Township,MACK TRUCKS INC,MACK TRUCKS INC,254989,MACK TRUCKS INC/MACUNGIE,243062,Y,Renewal,Title V Operating Permit,,ISSU,2020-07-07 00:00:00,2021-06-21 00:00:00,2026-06-21 00:00:00,1319315[39-00004]_Issued_v1.pdf
Northeast,Lehigh,Upper Macungie Township,CARPENTER CO.,CARPENTER CO,240064,CARPENTER CO./UPPER MACUNGIE,243369,Y,Renewal,Title V Operating Permit,,ISSU,2023-03-03 00:00:00,2024-01-29 00:00:00,2029-01-29 00:00:00,1431356[39-00040]_Issued_v2.pdf
