Region,County,Municipality,Client,Site Name,Site ID,PF Name,PF ID,Active Facility,Application Type,Permit Type,General Permit Type,Disposition Code,Date Received,Date Disposed,Date Expires,Permit Hyperlink
Northcentral,Montour,Derry Township,US GYPSUM CO,USG WASHINGTONVILLE PLANT,666465,US GYPSUM CO/WASHINGTONVILLE PLT,683668,Y,Renewal,Title V Operating Permit,,ISSU,2022-09-23 00:00:00,2024-01-02 00:00:00,2029-01-01 00:00:00,1411501[47-00014]_Issued_v1.pdf
Northcentral,Northumberland,Delaware Township,WATSONTOWN BRICK CO,WATSONTOWN BRICK PLT,457628,WATSONTOWN BRICK CO/WATSONTOWN PLT,493449,Y,Renewal,Title V Operating Permit,,ISSU,2024-04-05 00:00:00,2025-11-12 00:00:00,2030-11-11 00:00:00,1480337[49-00033]_Issued_v1.pdf
Northcentral,Northumberland,Milton Borough,ACF IND LLC,MR MILTON LLC,238146,ACF IND LLC/ MILTON FAC,240780,N,Renewal,Title V Operating Permit,,ISSU,2018-08-20 00:00:00,2019-03-06 00:00:00,2024-03-05 00:00:00,1241455[49-00003]_Issued_v1.pdf
Northcentral,Northumberland,Milton Borough,JERACO INC,MILTON TRUCK CAP PLT,463808,JERACO ENTERPRISES INC/MILTON PLT,493221,Y,Renewal,Title V Operating Permit,,ISSU,2022-07-15 00:00:00,2022-12-06 00:00:00,2027-12-05 00:00:00,1403973[49-00014]_Issued_v1.pdf
Northcentral,Northumberland,Milton Borough,TRUCK ACCESSORIES GROUP LLC,TRUCK ACCESSORIES GROUP MILTON TRUCK CAP PLT,4826,TRUCK ACCESSORIES GROUP/MILTON PLT,6525,Y,Amendment,Title V Operating Permit,,ISSU,2025-02-04 00:00:00,2025-02-20 00:00:00,2028-11-21 00:00:00,1515823[49-00020]_Issued_v1.pdf
Northcentral,Northumberland,Mount Carmel Township,MT CARMEL COGEN INC,MT CARMEL COGEN PLT,2626,MT CARMEL COGEN/CULM FIRED COGEN PLT,3527,Y,Renewal,Title V Operating Permit,,ISSU,2022-10-25 00:00:00,2024-01-31 00:00:00,2029-01-30 00:00:00,1416695[49-00001]_Issued_v1.pdf
Northcentral,Northumberland,Northumberland Borough,RESILITE SPORTS PROD INC,RESILITE SPORTS PROD,244373,RESILITE SPORTS PROD/NORTHUMBERLAND PLT,249177,Y,Renewal,Title V Operating Permit,,ISSU,2020-08-21 00:00:00,2021-06-28 00:00:00,2026-06-27 00:00:00,1324958[49-00004]_Issued_v1.pdf
Northcentral,Northumberland,Point Township,VIKING ENERGY OF NORTHUMBERLAND LLC,NORTHUMBERLAND COGEN PLT,2699,VIKING ENERGY NORTHUMBERLAND LLC/COGEN PLT,3630,N,Amendment,Title V Operating Permit,,ISSU,2017-03-20 00:00:00,2017-05-31 00:00:00,2018-09-10 00:00:00,1175619[49-00006]_Issued_v1.pdf
Northcentral,Northumberland,Riverside Borough,CHEROKEE PHARM LLC,CHEROKEE PHARM,249423,CHEROKEE PHARM LLC/RIVERSIDE BORO PLT,256556,Y,Modification,Title V Operating Permit,,ISSU,2025-02-26 00:00:00,2025-05-06 00:00:00,2028-07-30 00:00:00,1517724[49-00007]_Issued_v1.pdf
Northcentral,Northumberland,Sunbury City,SUNBURY HOSP CO LLC D/B/A SUNBURY COMMUNITY HOSP,UPMC SUSQUEHANNA SUNBURY,238236,SUNBURY COMMUNITY HOSP/SUNBURY,493242,N,New,Title V Operating Permit,,ISSU,1998-02-02 00:00:00,1999-08-02 00:00:00,2004-07-31 00:00:00,355264[49-00032]_Issued_v1.pdf
Northcentral,Northumberland,Sunbury City,KNIGHT CELOTEX LLC,SUNBURY FIBERBOARD PLT,1446,SUNBURY PROPERTY/KNIGHT CELOTEX,1863,N,Renewal,Title V Operating Permit,,ISSU,2005-06-08 00:00:00,2007-04-24 00:00:00,2012-04-23 00:00:00,596066[49-00024]_Issued_v1.pdf
Northcentral,Potter,Allegany Township,NATL FUEL GAS SUPPLY CORP,ELLISBURG STA,247969,NATL FUEL GAS SUPPLY/ELLISBURG STA,254140,Y,Amendment,Title V Operating Permit,,ISSU,2024-08-23 00:00:00,2024-10-03 00:00:00,2027-01-12 00:00:00,1498002[53-00003]_Issued_v1.pdf
Northcentral,Potter,Eulalia Township,CHARLES COLE MEM HOSP,CHARLES COLE MEM HOSP,461382,UPMC SUSQUEHANNA /UPMC COLE HOSPITAL,490929,Y,New,Title V Operating Permit,,ISSU,1997-03-14 00:00:00,1999-06-17 00:00:00,2004-06-16 00:00:00,355225[53-00011]_Issued_v1.pdf
Northcentral,Potter,Genesee Township,EASTERN GAS TRANS & STORAGE INC,STATE LINE STA,249822,EASTERN GAS TRANS & STORAGE INC/STATE LINE STA,257142,Y,Renewal,Title V Operating Permit,,ISSU,2025-04-30 00:00:00,2026-01-29 00:00:00,2031-01-28 00:00:00,1525579[53-00007]_Issued_v1.pdf
Northcentral,Potter,Harrison Township,EASTERN GAS TRANS & STORAGE INC,EGTS HARRISON COMPRESSOR STA,1509,EASTERN GAS TRANS & STORAGE INC/HARRISON STA,1944,Y,Amendment,Title V Operating Permit,,ISSU,2020-12-03 00:00:00,2020-12-30 00:00:00,2025-10-21 00:00:00,1336254[53-00004]_Issued_v1.pdf
Northcentral,Potter,Hebron Township,TENNESSEE GAS PIPELINE CO LLC,TENNESSEE GAS PIPLINE CO LLC COMPR STA 313,240680,TENNESSEE GAS PIPELINE CO/313 COUDERSPORT,244208,Y,Modification,Title V Operating Permit,,ISSU,2023-12-28 00:00:00,2024-06-24 00:00:00,2026-02-02 00:00:00,1488290[53-00001]_Issued_v1.pdf
Northcentral,Potter,Stewardson Township,EASTERN GAS TRANS & STORAGE INC,EGTS GREENLICK COMPRESSOR STATION,249774,EASTERN GAS TRANS & STORAGE INC/GREENLICK STA,257072,Y,Renewal,Title V Operating Permit,,ISSU,2020-10-23 00:00:00,2021-08-04 00:00:00,2026-08-03 00:00:00,1331730[53-00005]_Issued_v1.pdf
